215,66,280,10,292,23,227,80
112,45,127,35,154,73,139,84
68,81,81,81,81,94,68,94
272,90,331,88,332,107,273,109
42,94,108,94,108,118,42,118
194,110,241,110,241,130,194,130
109,116,154,116,154,130,109,130
297,120,322,120,322,130,297,130
294,127,340,129,339,141,294,139
36,132,97,132,97,146,36,146
294,138,329,138,329,150,294,150
31,163,90,161,91,178,32,180
42,181,87,178,88,187,42,190
43,231,350,237,348,308,41,303
396,302,442,308,414,532,367,526
110,314,340,325,337,392,107,381
