426,98,508,34,526,57,445,122
313,39,388,100,365,127,291,66
78,57,168,84,72,404,-17,377
275,114,314,118,313,132,273,128
480,122,589,132,587,159,478,149
276,127,341,134,339,150,274,143
276,143,324,146,323,162,275,159
472,160,613,173,611,194,471,181
254,194,288,194,288,216,254,216
492,193,608,200,605,234,490,227
241,217,297,217,297,228,241,228
524,229,607,238,606,249,523,240
720,262,766,262,766,416,720,416
212,265,604,283,598,416,206,398
10,497,139,511,135,548,6,534
226,511,587,514,586,585,226,581
641,524,758,522,759,552,641,554
610,629,627,628,636,810,619,811
